길이,높이,너비,무게
23.2,11.52,4.02,242.0
24.0,12.48,4.3056,290.0
23.9,12.3778,4.6961,340.0
26.3,12.73,4.4555,363.0
26.5,12.444,5.134,430.0
26.8,13.6024,4.9274,450.0
26.8,14.1795,5.2785,500.0
27.6,12.67,4.69,390.0
27.6,14.0049,4.8438,450.0
28.5,14.2266,4.9594,500.0
28.4,14.2628,5.1042,475.0
28.7,14.3714,4.8146,500.0
29.1,13.7592,4.368,500.0
29.5,13.9129,5.0728,340.0
29.4,14.9544,5.1708,600.0
29.4,15.438,5.58,600.0
30.4,14.8604,5.2854,700.0
30.4,14.938,5.1975,700.0
30.9,15.633,5.1338,610.0
31.0,14.4738,5.7276,650.0
